formatted_label	label	r	a	s	defined	selected	visible	locked	description
oc'1	EEG OC1	-25.6137	-9.59112	7.99454	1	1	1	0	
oc'2	EEG OC2	-28.5673	-9.66413	7.68935	1	1	1	0	
oc'3	EEG OC3	-31.9314	-9.43302	7.29736	1	1	1	0	
oc'4	EEG OC4	-35.1641	-9.21338	7.11017	1	1	1	0	
oc'5	EEG OC5	-38.6664	-8.97558	6.91864	1	1	1	0	
oc'6	EEG OC6	-42.3013	-8.7271	6.58985	1	1	1	0	
oc'7	EEG OC7	-45.4015	-8.51815	6.53992	1	1	1	0	
oc'8	EEG OC8	-49.4384	-8.24081	6.06953	1	1	1	0	
oc'9	EEG OC9	-52.6734	-8.02278	6.01743	1	1	1	0	
oc'10	EEG OC10	-56.3105	-7.77589	5.82372	1	1	1	0	
n'1	EEG N1	-3.07572	1.49499	46.4974	1	1	1	0	
n'2	EEG N2	-5.92269	1.62007	46.4556	1	1	1	0	
n'3	EEG N3	-9.04802	1.91551	46.3332	1	1	1	0	
n'4	EEG N4	-12.829	2.27126	46.2736	1	1	1	0	
n'5	EEG N5	-15.7324	2.54998	45.9356	1	1	1	0	
n'6	EEG N6	-19.8017	2.93562	45.7253	1	1	1	0	
n'7	EEG N7	-22.9908	3.24676	45.0907	1	1	1	0	
n'8	EEG N8	-27.0652	3.62735	45.1725	1	1	1	0	
n'9	EEG N9	-30.2595	3.93343	44.83	1	1	1	0	
n'10	EEG N10	-34.0303	4.29929	44.1862	1	1	1	0	
lp'1	EEG LP1 	-2.90798	-45.8529	50.8802	1	1	1	0	
lp'2	EEG LP2 	-6.10038	-45.9446	50.2444	1	1	1	0	
lp'3	EEG LP3 	-9.11105	-45.9346	50.4972	1	1	1	0	
lp'4	EEG LP4 	-12.475	-45.8296	50.7148	1	1	1	0	
lp'5	EEG LP5 	-15.8344	-45.8214	50.6567	1	1	1	0	
lp'6	EEG LP6 	-19.3399	-45.8128	50.5961	1	1	1	0	
lp'7	EEG LP7 	-23.2812	-45.8515	50.3901	1	1	1	0	
lp'8	EEG LP8 	-26.344	-45.9408	50.0614	1	1	1	0	
lp'9	EEG LP9 	-30.4382	-45.8341	50.2663	1	1	1	0	
lp'10	EEG LP10 	-33.6516	-45.8262	50.2108	1	1	1	0	
pi'1	EEG PI1	-0.631731	-40.2358	26.6455	1	1	1	0	
pi'2	EEG PI2	-3.79166	-40.137	26.2428	1	1	1	0	
pi'3	EEG PI3	-7.42352	-39.862	25.8468	1	1	1	0	
pi'4	EEG PI4	-10.6615	-39.6242	26.0651	1	1	1	0	
pi'5	EEG PI5	-14.5685	-39.333	26.0025	1	1	1	0	
pi'6	EEG PI6	-17.6672	-39.1021	25.9529	1	1	1	0	
pi'7	EEG PI7	-21.033	-38.8496	25.7638	1	1	1	0	
pi'8	EEG PI8	-24.6706	-38.5785	25.7056	1	1	1	0	
pi'9	EEG PI9	-28.3127	-38.3106	25.9174	1	1	1	0	
pi'10	EEG PI10	-31.6763	-38.0564	25.5933	1	1	1	0	
pa'1	EEG PA1	-0.71269	-56.7901	39.1049	1	1	1	0	
pa'2	EEG PA2	-4.03785	-56.6965	38.9216	1	1	1	0	
pa'3	EEG PA3	-7.68186	-56.5933	38.6691	1	1	1	0	
pa'4	EEG PA4	-11.148	-56.5058	39.2518	1	1	1	0	
pa'5	EEG PA5	-14.7335	-56.4084	39.3204	1	1	1	0	
pa'6	EEG PA6	-18.4447	-56.3057	39.2588	1	1	1	0	
pa'7	EEG PA7	-21.772	-56.2137	39.2036	1	1	1	0	
pa'8	EEG PA8	-25.4855	-56.1127	39.27	1	1	1	0	
pa'9	EEG PA9	-28.8128	-56.0207	39.2148	1	1	1	0	
pa'10	EEG PA10	-32.2703	-55.9268	39.2855	1	1	1	0	
